Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.2425,COOP NORDEN,2001-06-25,2001-07-26,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2425_en.pdf
M.2438,SES / STORK / FOKKER SPACE,2001-06-22,2001-07-24,Art. 6(1)(b),Phase I,C.30,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2438_en.pdf
M.2512,EQT NORTHERN EUROPE / ELECTROLUX,2001-06-21,2001-07-20,Art. 6(1)(b),Phase I,C.27,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2512_en.pdf
M.2498,UPM-KYMMENE / HAINDL,2001-06-20,2001-11-21,Art. 8(2),Phase II,C.17,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2498_en.pdf
M.2499,NORSKE SKOG / PARENCO / WALSUM,2001-06-20,2001-11-21,Art. 8(2),Phase II,C.17,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2499_en.pdf
M.2382,USINOR / ARBED / ACERALIA (see ECSC.1351),2001-06-18,2001-07-19,Art. 6(1)(b),Phase I,C.25|C.24,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2382_en.pdf
M.2489,BORG WARNER / HITACHI,2001-06-15,2001-07-17,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2489_en.pdf
M.2337,NESTLE / RALSTON PURINA,2001-06-15,2001-07-27,Art. 6(1)(b) with conditions & obligations,Phase I,C.10,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2337_en.pdf
M.2473,FINNFOREST / MOELVEN INDUSTRIER,2001-06-15,2001-07-18,Art. 6(1)(b),Phase I,A.02|C.16,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2473_en.pdf
M.2465,CVC / AMSTELLAND,2001-06-14,2001-07-16,Art. 6(1)(b),Phase I,C.23,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2465_en.pdf
M.2501,EUREKO / INTERAMERICAN,2001-06-13,2001-07-16,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2501_en.pdf
M.2387,HEINEKEN / BAYERISCHE BRAUHOLDING / JV,2001-06-12,2001-12-07,Art. 6(1)(b),Phase I,C.11,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2387_en.pdf
M.2453,GKN / BRAMBLES,2001-06-11,2001-12-07,Art. 6(1)(b),Phase I,H.52,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2453_en.pdf
M.2431,ALLIANZ / DRESDNER,2001-06-07,2001-07-19,Art. 6(1)(b) with conditions & obligations,Phase I,K.64,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2431_de.pdf
M.2488,ALCATEL / ALCATEL SPACE,2001-06-07,2001-06-07,Art. 6(1)(b),Phase I,C.30,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2488_fr.pdf
M.2464,NOMURA INTERNATIONAL / LE MERIDIEN HOTELS,2001-06-05,2001-03-07,Art. 6(1)(b),Phase I,I.55,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2464_en.pdf
M.2476,BLUE CIRCLE / MICHELIN / JV,2001-06-05,2001-05-07,Art. 6(1)(b),Phase I,C.22,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2476_en.pdf
M.2432,ANGELINI / PHOENIX / JV,2001-06-05,2001-06-07,Art. 6(1)(b),Phase I,G.46,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2432_en.pdf
M.2452,BELGACOM / BAS HOLDING / SECURITAS,2001-06-01,2001-05-07,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2452_en.pdf
M.2461,OM GROUP / DMC2,2001-06-01,2001-05-07,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2461_en.pdf
M.2439,HITACHI / STMICROELECTRONICS / SUPERH JV,2001-05-31,2001-03-07,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2439_en.pdf
M.2420,MITSUI / CVRD / CAEMI,2001-05-31,2001-10-30,Art. 8(2) with conditions & obligations,Phase II,B.07,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2420_en.pdf
M.2494,DEBITEL / DEBITEL NEDERLAND,2001-05-30,2001-06-29,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2494_en.pdf
M.2493,NORSKE SKOG / ABITIBI / PAPCO,2001-05-29,2001-03-07,Art. 6(1)(b),Phase I,C.17,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2493_en.pdf
M.2402,CREDITANSTALT / RZB / JV,2001-05-28,2001-02-07,Art. 6(1)(b),Phase I,K.66,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2402_de.pdf
M.2479,FLEXTRONICS / ALCATEL,2001-05-23,2001-06-29,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2479_en.pdf
